subject,unit_name,sub_unit_name,sort_order
数学,正の数・負の数,正負の数の意味,10
数学,正の数・負の数,加法・減法,11
数学,正の数・負の数,乗法・除法,12
数学,正の数・負の数,四則混合計算,13
数学,文字式,文字式の表し方,20
数学,文字式,式の計算（1年）,21
数学,文字式,文字式の利用,22
数学,一次方程式,方程式の解き方,30
数学,一次方程式,一次方程式の利用,31
数学,比例・反比例,比例,40
数学,比例・反比例,反比例,41
数学,比例・反比例,グラフ,42
数学,平面図形,直線と角,50
数学,平面図形,図形の移動,51
数学,平面図形,円と扇形,52
数学,平面図形,作図,53
数学,空間図形,立体の種類と名称,60
数学,空間図形,直線・平面の位置関係,61
数学,空間図形,立体の表面積・体積,62
数学,資料の活用,度数分布・ヒストグラム,70
数学,資料の活用,代表値,71
数学,資料の活用,資料の分析,72
数学,式の計算,単項式・多項式,80
数学,式の計算,加法・減法（2年）,81
数学,式の計算,乗法・除法（2年）,82
数学,式の計算,文字式の利用（2年）,83
数学,連立方程式,連立方程式の解き方,90
数学,連立方程式,連立方程式の利用,91
数学,一次関数,一次関数の式,100
数学,一次関数,グラフ（2年）,101
数学,一次関数,一次関数の利用,102
数学,図形の調べ方,平行線と角,110
数学,図形の調べ方,多角形の角,111
数学,図形の調べ方,合同,112
数学,図形の調べ方,証明,113
数学,図形の性質,二等辺三角形,120
数学,図形の性質,直角三角形の合同,121
数学,図形の性質,平行四辺形,122
数学,図形の性質,特別な平行四辺形,123
数学,確率（2年）,確率の意味,130
数学,確率（2年）,確率の求め方,131
数学,データの活用（2年）,四分位数・箱ひげ図,140
数学,多項式,展開,150
数学,多項式,因数分解,151
数学,平方根,平方根の意味,160
数学,平方根,平方根の計算,161
数学,平方根,有理数・無理数,162
数学,二次方程式,二次方程式の解き方,170
数学,二次方程式,解の公式,171
数学,二次方程式,二次方程式の利用,172
数学,関数y=ax²,関数y=ax²のグラフ,180
数学,関数y=ax²,変化の割合,181
数学,関数y=ax²,関数の利用,182
数学,相似,相似の意味・条件,190
数学,相似,平行線と線分の比,191
数学,相似,相似の利用,192
数学,円,円周角の定理,200
数学,円,円周角の利用,201
数学,三平方の定理,三平方の定理の意味,210
数学,三平方の定理,三平方の定理の利用,211
数学,三平方の定理,空間図形への応用,212
数学,確率（3年）,場合の数,220
数学,確率（3年）,確率の計算,221
数学,標本調査,母集団と標本,230
数学,標本調査,標本調査の利用,231
